,itemID,title,price,itemDetail,itemLink
0,574246632987,新款汽车行车记录仪双镜头高清夜视全景无线车载测速电子狗一体机,78.00 - 250.00,CCC证书编号:?主镜头光圈:?F2.0品牌:?鹏之浩型号:?Y806套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?500万画面视角:?170°运行内存:?无镜头数量:?双镜头颜色分类:?黑色 蓝色屏幕尺寸:?4.3英寸功能:?循环录像 移动侦测 倒车影像 停车监控 前后录像 前后双镜头,https://item.taobao.com/item.htm?id=574246632987
1,568772214439,高清1080P汽车行车记录仪后视镜 车载夜视一体机 单镜头 正品包邮,39.00 - 98.00,主镜头光圈:?F2.0品牌:?中性型号:?6888套餐:?套餐一 套餐二 套餐三 套餐四安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万摄像像素:?1200万画面视角:?170°运行内存:?3G镜头数量:?单镜头颜色分类:?黑色 红色屏幕尺寸:?4.3英寸功能:?循环录像 移动侦测 停车监控 前车碰撞预警 前车车距侦测 流动测速 疲劳驾驶提醒 碰撞感应 行人防撞预警 轨道偏移预警,https://item.taobao.com/item.htm?id=568772214439
2,570805785090,新款汽车车载行车记录仪高清夜视全景单双镜头隐藏式电子狗一体,198.00 - 378.00,CCC证书编号:?主镜头光圈:?F2.0品牌:?鑫诠型号:?G300套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?便携式吸盘影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?1800万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?1黑色屏幕尺寸:?2.7英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 移动侦测 倒车影像 停车监控 固定测速 碰撞感应 前后录像 前后双镜头,https://item.taobao.com/item.htm?id=570805785090
3,573718312859,新款行车记录仪高清夜视全景360度前后双镜头录像无线24小时监控,218.00 - 348.00,主镜头光圈:?F2.0品牌:?艾伲妠型号:?AA5套餐:?官方标配安装类型:?便携式吸盘影像分辨率:?1080p拍照像素:?1200万摄像像素:?500万画面视角:?170°运行内存:?4GB镜头数量:?双镜头颜色分类:?单镜头+WIFI 单镜头8GB+WIFI 单镜头16GB+WIFI 单镜头32GB+WIFI 双镜头+WIFI 双镜头8GB+WIFI 双镜头16GB+WIFI 双镜头32GB+WIFI屏幕尺寸:?不带屏幕功能:?夜视加强 夜视补光 循环录像 微光夜视加强 移动侦测 WIFI 倒车影像 停车监控 前车碰撞预警 短视频分享 碰撞感应 手势感应拍照 前后录像 前后双镜头,https://item.taobao.com/item.htm?id=573718312859
4,534159083192,行车记录仪 汽车后视镜双镜头高清夜视带电子狗倒车影像一体机,122.00 - 319.00,CCC证书编号:?主镜头光圈:?F2.0品牌:?鹏之浩型号:?Y809套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?500万画面视角:?170°运行内存:?无镜头数量:?双镜头颜色分类:?黑色 蓝色屏幕尺寸:?4.3英寸功能:?循环录像 移动侦测 倒车影像 停车监控 碰撞感应,https://item.taobao.com/item.htm?id=534159083192
5,569519448720,正品1080P超高清汽车行车记录仪双镜头 夜视广角迷你车载一体机,48.80 - 158.80,主镜头光圈:?F2.0品牌:?lit型号:?xhs套餐:?套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?便携式吸盘影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?1200万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?2.7英寸功能:?夜视加强 夜视补光 循环录像 移动侦测 倒车影像 停车监控 碰撞感应 前后录像 前后双镜头,https://item.taobao.com/item.htm?id=569519448720
6,571908069396,汽车行车记录仪单双镜头高清夜视全景电子狗后视镜倒车影像一体,198.00 - 348.00,CCC证书编号:?主镜头光圈:?F2.0品牌:?鑫诠型号:?D813套餐:?套餐一 套餐二 套餐三 套餐四安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?1800万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?D813屏幕尺寸:?4.3英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 移动侦测 倒车影像 停车监控 固定测速 流动测速 碰撞感应 前后录像 前后双镜头,https://item.taobao.com/item.htm?id=571908069396
7,526397484286,领克01长城魏派wey vv5吉利博越2018款usb行车记录仪vv7专用原厂,488.00 - 758.00,CCC证书编号:?产品名称:?FiTCAM/智看 HD2主镜头光圈:?F1.6品牌:?FiTCAM/智看型号:?HD2套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?专车专用影像分辨率:?1080p拍照像素:?1200万摄像像素:?200万画面视角:?170°运行内存:?2GB镜头数量:?单镜头颜色分类:?黑色屏幕尺寸:?不带屏幕功能:?循环录像 移动侦测 WIFI 停车监控 碰撞感应,https://item.taobao.com/item.htm?id=526397484286
8,559369594465,任E行V28行车记录仪高清夜视双镜头隐藏式全景24小时停车监控WiFi,1198.00 - 1558.00,CCC证书编号:?产品名称:?任E行 V28主镜头光圈:?F2.0品牌:?任E行型号:?V28套餐:?官方标配 套餐一 套餐二 套餐三 套餐四安装类型:?迷你机影像分辨率:?2160p拍照像素:?1200万摄像像素:?500万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?黑色 双镜头WiFi 黑色屏幕尺寸:?2.7英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 移动侦测 WIFI 碰撞感应 前后录像 前后双镜头,https://item.taobao.com/item.htm?id=559369594465
9,564169946669,360行车记录仪G300高清夜视隐藏式迷你汽车载无线测速电子狗G300P,309.00 - 539.00,产品名称:?360 G300主镜头光圈:?F2.2品牌:?360型号:?G300套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?迷你机影像分辨率:?1080p拍照像素:?200万摄像像素:?200万画面视角:?140°运行内存:?无镜头数量:?单镜头颜色分类:?G300（标准版） G300 PLUS（远程版）屏幕尺寸:?2.0英寸功能:?夜视加强 循环录像,https://item.taobao.com/item.htm?id=564169946669
