g***6,taobao,572211122162,2018年08月01日 11:46,1,不够清晰 配合大屏 不够智能 一个大屏幕不能同时显示两个app 要改进 外观太大不够美观 有要求的还是选择贵一点的吧 优点便宜可以用,,,,https://item.taobao.com/item.htm?id=572211122162
晓***y,taobao,572211122162,2018年07月23日 10:09,1,用得很好，很清楚，物有所值，我感觉很满意。,,,,https://item.taobao.com/item.htm?id=572211122162
a***8,taobao,572211122162,2018年07月01日 18:50,1,好物有所值,,,,https://item.taobao.com/item.htm?id=572211122162
蒋***0,taobao,572211122162,2018年08月05日 19:32,1,"评价方未及时做出评价,系统默认好评!",,,,https://item.taobao.com/item.htm?id=572211122162
迷***罪,taobao,572211122162,2018年08月06日 11:22,1,"评价方未及时做出评价,系统默认好评!",,,,https://item.taobao.com/item.htm?id=572211122162
a***0,taobao,572104625658,2018年08月04日 15:57,1,摄像头??很清晰，比我想象中还要好，前后一起录，想看记录随便都能看，妈妈再不用担心我被人碰瓷了??,,,,https://item.taobao.com/item.htm?id=572104625658
s***杰,taobao,572104625658,2018年07月09日 18:29,1,价格便宜功能强大。倒车影像记录仪高清。话不多说看图,,,,https://item.taobao.com/item.htm?id=572104625658
t***1,taobao,572104625658,2018年08月04日 21:03,1,作为指上飞的粉丝，产品质量不容否认，一既如往，值得购买。收到记录仪安装时不懂的地方，商家耐心指教，难能可贵超??祝生意兴隆,,,,https://item.taobao.com/item.htm?id=572104625658
一***一,taobao,572104625658,2018年08月05日 13:55,1,还可以，反应有点慢,,,,https://item.taobao.com/item.htm?id=572104625658
a***4,taobao,572104625658,2018年08月05日 20:29,1,很棒,,,,https://item.taobao.com/item.htm?id=572104625658
t***2,taobao,572104625658,2018年07月28日 16:00,1,此用户没有填写评价。,,,,https://item.taobao.com/item.htm?id=572104625658
h***9,taobao,572104625658,2018年08月05日 05:30,1,此用户没有填写评价。,,,,https://item.taobao.com/item.htm?id=572104625658
w***8,taobao,568303188656,2018年08月02日 15:04,1,东西收到    不会安装   老板不厌其烦的跟我说怎么安装   最后成功安装好   非常感谢    好评,,,,https://item.taobao.com/item.htm?id=568303188656
y***5,taobao,568303188656,2018年07月25日 08:27,1,费了半天安装，用着不错！,,,,https://item.taobao.com/item.htm?id=568303188656
王***1,taobao,568303188656,2018年07月16日 08:42,1,给别人买的，说质量很好！,,,,https://item.taobao.com/item.htm?id=568303188656
家***9,taobao,568303188656,2018年05月01日 15:22,1,这款行车记录仪安装简单我自己几分钟就安装完毕 广角也大 白天录制的视频在导航上看非常清楚没有卡顿 值得购买 比以前的好用 录制很清晰 卖家很热情,,,,https://item.taobao.com/item.htm?id=568303188656
火***斯,taobao,568303188656,2018年05月18日 10:49,1,不错，大晚上的在客服的耐心指导下操作完成。很不错，完美匹配我的9寸中控屏,,,,https://item.taobao.com/item.htm?id=568303188656
齐***6,taobao,568303188656,2018年08月05日 17:11,1,快递快！刚收到，试了一下。视野开阔，图像清晰，和中控导航完美结合。十分满意！感谢商家送的小礼品。祝商家生意兴隆！,,,,https://item.taobao.com/item.htm?id=568303188656
t***8,taobao,561525602790,2018年08月03日 20:40,1,拍摄视频很清晰，相比上一代流畅了很多。app查看视频开始反复卡顿后面全程畅通，手机连接记录仪时经常卡顿。车道偏移车距太近不准确。电子狗起不到实际用作，定位不准确反应迟钝。只能播报闯红灯拍照和固定测速拍照。多次有摄像头不报，没摄像头了报，而且摄像头前只播报一次。还不如高德地图电子狗播报更全面。话说回来记录仪还是很好的，视频清晰便于查看。,,,,https://item.taobao.com/item.htm?id=561525602790
英***铺,taobao,561525602790,2018年07月27日 22:23,1,记录仪不错，挺清晰的。谢谢掌柜的！,,,,https://item.taobao.com/item.htm?id=561525602790
a***6,taobao,561525602790,2018年07月22日 09:56,1,使用了10天左右，还不错，过后来追评,,,,https://item.taobao.com/item.htm?id=561525602790
c***g,taobao,561525602790,2018年07月03日 22:21,1,送件速度快，準備裝上車試一下,,,,https://item.taobao.com/item.htm?id=561525602790
c***6,taobao,561525602790,2018年06月28日 20:01,1,宝贝不错哦！用一段再评价！,,,,https://item.taobao.com/item.htm?id=561525602790
t***6,taobao,561525602790,2018年07月05日 17:18,1,东西不错,,,,https://item.taobao.com/item.htm?id=561525602790
李***3,taobao,561525602790,2018年07月07日 16:34,1,宝贝收到了，已经安装上了，感觉很清晰视角挺宽的。就是停车线不知道装还是不装的好，还有就是要是有线路图就好了,,,,https://item.taobao.com/item.htm?id=561525602790
h***9,taobao,561525602790,2018年05月14日 22:09,1,今天收到，行车记录仪和GPS已经安装上，还有降压线还没安装，记录仪显示效果很清晰，连接上手机回放视频录像，拍照都很棒。不知道GPS怎么使用，也不知道降压线怎样安装，有待摸索研究。,,,,https://item.taobao.com/item.htm?id=561525602790
鬼***爵,taobao,561525602790,2018年05月12日 19:51,1,白天效果不错,,,,https://item.taobao.com/item.htm?id=561525602790
s***孑,taobao,561525602790,2018年03月22日 18:28,1,一如既往的好  推荐伙伴们购买！,,,,https://item.taobao.com/item.htm?id=561525602790
c***1,taobao,561525602790,2018年04月15日 13:31,1,外观大气，做工好，大品牌值得信赖！！,,,,https://item.taobao.com/item.htm?id=561525602790
a***1,taobao,561525602790,2018年03月27日 15:01,1,好宝贝不需要太多的修饰，非常棒！,,,,https://item.taobao.com/item.htm?id=561525602790
z***4,taobao,561525602790,2018年04月08日 14:22,1,质量好，使用便捷，成像质量好。,,,,https://item.taobao.com/item.htm?id=561525602790
歪***一,taobao,561525602790,2018年03月24日 15:08,1,感觉不错，比以前的强。,,,,https://item.taobao.com/item.htm?id=561525602790
高***9,taobao,561525602790,2018年04月15日 11:59,1,此用户没有填写评价。,挺好用，也很清晰!,,3.0,https://item.taobao.com/item.htm?id=561525602790
m***d,taobao,561525602790,2018年03月20日 18:48,1,东西不错，好评！,,,,https://item.taobao.com/item.htm?id=561525602790
t***1,taobao,561525602790,2018年03月01日 07:13,1,东西还行，质量不错，用了这么多天了感觉比别的牌子好，有紧急录像和停车监控这两个功能挺好的,,,,https://item.taobao.com/item.htm?id=561525602790
x***6,taobao,561525602790,2018年03月07日 14:16,1,挺好用的，已经用了两天了。,,,,https://item.taobao.com/item.htm?id=561525602790
南***彬,taobao,561525602790,2018年03月15日 15:37,1,满意的一次购物,,,,https://item.taobao.com/item.htm?id=561525602790
小***子,taobao,561525602790,2018年03月02日 16:51,1,效果不错?,,,,https://item.taobao.com/item.htm?id=561525602790
l***8,taobao,572940460076,2018年08月03日 15:38,1,东西不好，质量很差买装电子狗功能不灵，店主叫我等通知，叫后台处理，等了一个星期无答案，然后机器经常闪退，拆机从装很麻烦，商家让我拆回去换一台，拆装花费230元，不花算，算了最不好的一次购物。实说实说,,,,https://item.taobao.com/item.htm?id=572940460076
n***0,taobao,572940460076,2018年07月24日 20:41,1,店主服务态度好，物品与图片一致非常满意，这包装这么厚也是第一次见，可见店主很上心,开车拍的，视频很清晰,,1.0,https://item.taobao.com/item.htm?id=572940460076
b***u,taobao,572940460076,2018年07月20日 16:10,1,此用户没有填写评价。,使用好几天了，今天在卖家指导下完成了和车机的连接，效果真的好！,,14.0,https://item.taobao.com/item.htm?id=572940460076
t***5,taobao,572940460076,2018年08月04日 09:55,-1,电子狗一说话车载音乐就没了，必须要重新打开音乐才有，问客服说是给回话，然后就没消息了，很无语的一次购物。不否认视频录制清晰，可是长途开车没有音乐确实是一件很难受的事情。,,,,https://item.taobao.com/item.htm?id=572940460076
三***9,taobao,572940460076,2018年08月02日 14:19,1,终于安装完毕，摄像头非常清晰。质量很好，比实体店卖的还便宜。,,,,https://item.taobao.com/item.htm?id=572940460076
l***5,taobao,572940460076,2018年07月27日 16:25,1,东西几天前已经收到。特意用了几天才来评论，这个行车记录仪是我用过最好用的。简单。图像清晰。,,,,https://item.taobao.com/item.htm?id=572940460076
我***扬,taobao,572940460076,2018年08月04日 16:29,1,自己不会按！客服给了个微信号！手机视频讲解的！服务态度没说的！,,,,https://item.taobao.com/item.htm?id=572940460076
t***7,taobao,572940460076,2018年08月01日 07:52,1,可以，良心卖家～棒棒的,,,,https://item.taobao.com/item.htm?id=572940460076
学***梓,taobao,572940460076,2018年07月30日 01:53,1,东西不错，客服态度也很好，就是电子狗不会响，更新到最新版本还是不会响,,,,https://item.taobao.com/item.htm?id=572940460076
福***天,taobao,572940460076,2018年07月19日 23:42,1,快递也快，良心商家，服务到位，祝你生意做的越来越好,,,,https://item.taobao.com/item.htm?id=572940460076
缘***您,taobao,572940460076,2018年07月20日 20:45,1,嗯嗯  不错  卖家很贴心  也安装  完美解决,,,,https://item.taobao.com/item.htm?id=572940460076
t***琦,taobao,572940460076,2018年07月09日 22:07,1,这款行车记录仪很好用，很清楚，安装简单挺方便的。挺好用，发货速度很快。有朋友需要一定推荐.,,,,https://item.taobao.com/item.htm?id=572940460076
萧***3,taobao,572940460076,2018年07月21日 10:02,1,很满意。赞一个。,,,,https://item.taobao.com/item.htm?id=572940460076
s***0,taobao,572940460076,2018年07月15日 15:34,1,好用，清晰，安装方便,,,,https://item.taobao.com/item.htm?id=572940460076
罗***武,taobao,572940460076,2018年07月09日 17:55,1,此用户没有填写评价。,,,,https://item.taobao.com/item.htm?id=572940460076
